Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Windows,LOUVERED - 4 PANELS,AL2 (5000x600),LOUVERED - 4 PANELS,,,1 TIER SLIDING - 4 PANELS,MCR18,AL2 (5000x600),,Aluminum,Sliding Window
Windows,Louvres_1 bay,AL8 (600X800),Louvres_1 bay,,,1 TIER LOUVER - 1 PANELS,MCR18,AL8 (600X800),,Aluminum,Fixed Louvred Window
Windows,Louvres_1 bay,AL13 (1000x500),Louvres_1 bay,,,1 TIER LOUVER - 1 PANELS,MCR18,AL13 (1000x500),,Aluminum,Fixed Louvred Window
Windows,Louvres_1 bay,AL6 (800x550),Louvres_1 bay,,,1 TIER LOUVER - 1 PANELS,MCR18,AL6 (800x550),,Aluminum,Fixed Louvred Window
Windows,Louvres_1 bay,AL9 (450X450),Louvres_1 bay,,,1 TIER LOUVER - 1 PANELS,MCR18,AL9 (450X450),,Aluminum,Fixed Louvred Window
Windows,Louvres_1 bay,AL14 (1000X1000),Louvres_1 bay,,,1 TIER LOUVER - 1 PANELS,MCR18,AL14 (1000X1000),,Aluminum,Fixed Louvred Window
Windows,Louvres_1 bay,AL19 (450x470),Louvres_1 bay,,,1 TIER LOUVER - 1 PANELS,MCR18,AL19 (450x470),,Aluminum,Fixed Louvred Window
Windows,Security Room W7A,WD7 (2000x1200),Security Room W7A,,,2 TIER SILDING - 4 PANELS,MCR18,WD7 (2000x1200),,Aluminum,Sliding Window
Planting,,,RPC Tree - Deciduous,,,,,,,,Tree
Planting,,,RPC Tree - Deciduous1,,,,,,,,Tree
Planting,,,RPC Tree - Fall,,,,,,,,Tree
Generic Models,Arup_MaintenanceZone_Rectangular,Default,Arup_MaintenanceZone_Rectangular,,,NA,MCR07,Default,,<By Category>,Generic Model (MISC)
Generic Models,EXIT Directional 2,EXIT Directional 2,EXIT Directional 2,,,DIRECTIONAL SIGNAGE,MCR07,EXIT Directional 2,,Aluminum,Generic Model (MISC)
Generic Models,11112_WAVELINE-220,TGW-220,11112_WAVELINE-220,,,Slotted Collection - TGW -220,MCR07,TGW-220,,"Jonite Stone (reinforced),<By Category>",Generic Model (MISC)
Generic Models,11112_WAVELINE-220,TGW-220,11112_WAVELINE-220,,,Slotted Collection - TGW -220,MCR07,TGW-220,,"Jonite Stone (reinforced),<By Category>",Generic Model (MISC)
