"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Mechanical Equipment","PB_SANI_Ejector Pump_Vertical Discharge_Non-Hosted","SANI","PB_SANI_Ejector Pump_Vertical Discharge_Non-Hosted","[913675]","","","","","SANI","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2118393]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2127319]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2127322]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2127775]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2127778]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2129360]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2129363]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2129414]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2129417]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2132365]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2132368]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2132480]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2132483]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2135606]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2135609]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2138766]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2138769]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2139303]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2139306]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2139653]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2139656]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2139695]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2139698]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2199062]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2199063]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2202190]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2202191]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2208677]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2208678]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2228836]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2228839]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2234955]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2234958]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2235755]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2235758]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2237561]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2237564]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2237862]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2237865]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2242421]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2242424]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2242469]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2242470]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2242576]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2242579]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2245122]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2245125]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2266549]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2266552]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2278927]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2278930]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2301947]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2301950]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2360878]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2360881]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2363335]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2363338]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2366748]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2366751]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2367085]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2367088]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2375713]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2375716]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2376215]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2376218]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2483435]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2483438]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2483668]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2483671]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2483706]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2483709]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2483770]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2483773]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2483820]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2483823]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2483843]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2483846]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2489588]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2489591]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2492670]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2492673]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2506131]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2506134]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2506205]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2506208]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2506538]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2506541]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2509223]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2509224]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2509606]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2509609]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2510150]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2510153]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2510281]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2510284]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2512359]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2512362]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2512711]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2512712]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2513293]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2513296]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2513336]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2513337]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2523121]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2523124]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2547317]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2547318]","","","","","","","",""
