Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Prediction
Generic Models,Generic Models 22,Generic Models 12,Generic Models 22 [9391693],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 23,Generic Models 15,Generic Models 23 [9391709],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 24,Generic Models 12,Generic Models 24 [9391843],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 25,Generic Models 13,Generic Models 25 [9391856],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 26,Generic Models 12,Generic Models 26 [9391868],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 27,Generic Models 15,Generic Models 27 [9391884],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 28,Generic Models 12,Generic Models 28 [9392059],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 29,Generic Models 13,Generic Models 29 [9392072],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 30,Generic Models 12,Generic Models 30 [9392084],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 31,Generic Models 15,Generic Models 31 [9392100],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 32,Generic Models 12,Generic Models 32 [9392669],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 33,Generic Models 13,Generic Models 33 [9392682],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 34,Generic Models 12,Generic Models 34 [9392694],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 35,Generic Models 15,Generic Models 35 [9392710],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 36,Generic Models 12,Generic Models 36 [9392878],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 37,Generic Models 13,Generic Models 37 [9392891],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
