Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Floors,Floor,TS_150mm Thk. Bondek Slab,Floor,,,FLOOR : 150mm THK. Slab with Bondek System Decking (Thickness 1.5mm/Grade 550) or Other Equivalent,FF,TS_150mm Thk. Bondek Slab,TS_CIS Slab,,Floor Finish
Floors,Floor,TS_450mm Thk. Slab (CIS),Floor,,,FLOOR : 450mm Thk. Cast In Situ Slab,Grade C40/50,TS_450mm Thk. Slab (CIS),TS_CIS Slab,,Floor Finish
Floors,Floor,TS_200mm Thk. Slab (CIS),Floor,,,FLOOR : 200mm Thk. Cast-In-Situ Slab,Grade C40/50,TS_200mm Thk. Slab (CIS),TS_CIS Slab,,Floor Finish
Floors,Floor,TS_65mm Thk. PBU RC Slab,Floor,,,FLOOR : 65mm Thk. Prefabricated Bathroom Unit RC Slab,Grade C40/50,TS_65mm Thk. PBU RC Slab,TS_PBU RC Slab,,Floor Finish
Floors,Floor,TS_150mm Thk. Slab (CIS),Floor,,,FLOOR : 150mm Thk. Cast-In-Situ Slab,Grade C40/50,TS_150mm Thk. Slab (CIS),TS_CIS Slab,,Floor Finish
Floors,Floor,TS_450mm Thk. HCS,Floor,,,FLOOR : 360mm Thk Hollow Core + 90mm Thk. Concrete Topping,HC,TS_450mm Thk. HCS,TS_HCS (Top Up),,Floor Finish
Floors,Floor,TS_525mm Thk. PTS,Floor,,,FLOOR : 525mm Thk. Post-Tensioned Slab,PT,TS_525mm Thk. PTS,TS_PC Slab,,Floor Finish
Floors,Floor,TS_450mm Thk. PTS,Floor,,,FLOOR : 450mm Thk. Post-Tensioned Slab,PT,TS_450mm Thk. PTS,TS_PC Slab,,Floor Finish
Floors,Floor,TS_250mm Thk. Slab (CIS),Floor,,,FLOOR : 250mm Thk. Cast In Situ Slab,Grade C40/50,TS_250mm Thk. Slab (CIS),TS_CIS Slab,,Floor Finish
Floors,Floor,TS_500mm Thk. PTS,Floor,,,FLOOR : 500mm Thk. Post-Tensioned Slab,PT,TS_500mm Thk. PTS,TS_PC Slab,,Floor Finish
