"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Electrical Equipment","ACM_ELEC_DB","DB-SS","ACM_ELEC_DB","[3315249]","","","","","DB-SS","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4495096]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4495108]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","","","DL2 ","[4150137]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150402]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150410]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150418]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150426]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150436]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150444]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150470]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150478]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150486]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150494]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150506]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150518]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150528]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150536]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150556]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150568]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4150578]","","","","","","","",""
"Lighting Fixtures","","","DL2 ","[4356273]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4222059]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4224153]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4224191]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4224199]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED (L2)","[4530978]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4225143]","","","","","","","",""
"Lighting Fixtures","","","2x14W LED Wall Mounted(L2)","[4226185]","","","","","","","",""
