"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Mechanical Equipment","PB_SANI_Ejector Pump_Vertical Discharge_Non-Hosted","SANI","PB_SANI_Ejector Pump_Vertical Discharge_Non-Hosted","[913675]","","","","","SANI","",""
"Pipes","","","Pipe Types","[1312174]","","","","","","","",""
"Pipes","","","Pipe Types","[1312175]","","","","","","","",""
"Pipes","","","Pipe Types","[1312270]","","","","","","","",""
"Pipes","","","Pipe Types","[1312271]","","","","","","","",""
"Pipes","","","Pipe Types","[1312273]","","","","","","","",""
"Pipes","","","Pipe Types","[1312274]","","","","","","","",""
"Pipes","","","Pipe Types","[1312280]","","","","","","","",""
"Pipes","","","Pipe Types","[1312281]","","","","","","","",""
"Pipes","","","Pipe Types","[1312283]","","","","","","","",""
"Pipes","","","Pipe Types","[1312284]","","","","","","","",""
"Pipes","","","Pipe Types","[1312286]","","","","","","","",""
"Pipes","","","Pipe Types","[1312287]","","","","","","","",""
"Pipes","","","Pipe Types","[1312320]","","","","","","","",""
"Pipes","","","Pipe Types","[1312321]","","","","","","","",""
"Pipes","","","Pipe Types","[1312324]","","","","","","","",""
"Pipes","","","Pipe Types","[1312325]","","","","","","","",""
"Pipes","","","Pipe Types","[1312372]","","","","","","","",""
"Pipes","","","Pipe Types","[1312373]","","","","","","","",""
"Pipes","","","Pipe Types","[1312456]","","","","","","","",""
"Pipes","","","Pipe Types","[1312457]","","","","","","","",""
"Pipes","","","Pipe Types","[1312460]","","","","","","","",""
"Pipes","","","Pipe Types","[1312461]","","","","","","","",""
"Pipes","","","Pipe Types","[1312478]","","","","","","","",""
"Pipes","","","Pipe Types","[1312479]","","","","","","","",""
"Pipes","","","Pipe Types","[1312481]","","","","","","","",""
"Pipes","","","Pipe Types","[1312482]","","","","","","","",""
"Pipes","","","Pipe Types","[1312484]","","","","","","","",""
"Pipes","","","Pipe Types","[1312485]","","","","","","","",""
"Pipes","","","Pipe Types","[1312493]","","","","","","","",""
"Pipes","","","Pipe Types","[1312494]","","","","","","","",""
"Pipes","","","Pipe Types","[1312682]","","","","","","","",""
"Pipes","","","Pipe Types","[1312683]","","","","","","","",""
"Pipes","","","Pipe Types","[1313345]","","","","","","","",""
"Pipes","","","Pipe Types","[1313346]","","","","","","","",""
"Pipes","","","Pipe Types","[1317846]","","","","","","","",""
"Pipes","","","Pipe Types","[1317847]","","","","","","","",""
"Pipes","","","Pipe Types","[1317853]","","","","","","","",""
"Pipes","","","Pipe Types","[1317854]","","","","","","","",""
"Pipes","","","Pipe Types","[1317860]","","","","","","","",""
"Pipes","","","Pipe Types","[1317861]","","","","","","","",""
"Pipes","","","Pipe Types","[1317867]","","","","","","","",""
"Pipes","","","Pipe Types","[1317868]","","","","","","","",""
"Pipes","","","Pipe Types","[1317874]","","","","","","","",""
"Pipes","","","Pipe Types","[1317875]","","","","","","","",""
"Pipes","","","Pipe Types","[1317881]","","","","","","","",""
"Pipes","","","Pipe Types","[1317882]","","","","","","","",""
"Pipes","","","Pipe Types","[1344392]","","","","","","","",""
"Pipes","","","Pipe Types","[1344393]","","","","","","","",""
"Pipes","","","Pipe Types","[1346256]","","","","","","","",""
"Pipes","","","Pipe Types","[1346257]","","","","","","","",""
"Pipes","","","Pipe Types","[1346876]","","","","","","","",""
"Pipes","","","Pipe Types","[1346877]","","","","","","","",""
"Pipes","","","Pipe Types","[1346991]","","","","","","","",""
"Pipes","","","Pipe Types","[1346992]","","","","","","","",""
"Pipes","","","Pipe Types","[1363298]","","","","","","","",""
"Pipes","","","Pipe Types","[1363299]","","","","","","","",""
"Pipes","","","Pipe Types","[1363480]","","","","","","","",""
"Pipes","","","Pipe Types","[1363481]","","","","","","","",""
"Pipes","","","Pipe Types","[1363566]","","","","","","","",""
"Pipes","","","Pipe Types","[1363567]","","","","","","","",""
"Pipes","","","Pipe Types","[1363602]","","","","","","","",""
"Pipes","","","Pipe Types","[1363603]","","","","","","","",""
"Pipes","","","Pipe Types","[1363605]","","","","","","","",""
"Pipes","","","Pipe Types","[1363606]","","","","","","","",""
"Pipes","","","Pipe Types","[1363610]","","","","","","","",""
"Pipes","","","Pipe Types","[1363611]","","","","","","","",""
"Pipes","","","Pipe Types","[1363617]","","","","","","","",""
